sample_ID	year	sampling_date	departement	AMISULBROM_SSSHAM	AMISULBROM_SHAM	S34L	AOX	AMETOC	AMISUL
12-402	2012	25/09/12	44	0	NA	NA	0	NA	NA
12-412	2012	25/09/12	51	0	NA	NA	0	NA	NA
12-437	2012	02/10/12	16	0	NA	NA	0	NA	NA
13-017	2013	25/06/13	30	0	0	NA	0	NA	0
13-029	2013	08/07/13	30	0	0	NA	0	NA	0
13-030	2013	08/07/13	84	0	0	NA	0	NA	0
13-069	2013	23/07/13	39	1	0	NA	1	NA	0
13-070	2013	23/07/13	39	1	0	NA	1	NA	0
13-071	2013	24/07/13	39	0	0	NA	0	NA	0
13-075	2013	30/07/13	21	0	0	NA	0	NA	0
13-085	2013	31/07/13	39	0	0	NA	0	NA	0
13-086	2013	01/08/13	26	0	0	NA	0	NA	0
13-089	2013	02/08/13	33	0	0	NA	0	NA	0
13-090	2013	05/08/13	33	0	0	NA	0	NA	0
13-095	2013	05/08/13	21	0	0	NA	0	NA	0
13-096	2013	05/08/13	21	0	0	NA	0	NA	0
13-097	2013	05/08/13	21	1	0	NA	1	NA	0
13-098	2013	05/08/13	21	1	0	NA	1	NA	0
13-105	2013	06/08/13	2	0	0	NA	0	NA	0
13-106	2013	05/08/13	2	0	0	NA	0	NA	0
13-107	2013	06/08/13	21	1	0	NA	1	NA	0
13-108	2013	05/08/13	17	0	0	NA	0	NA	0
13-109	2013	05/08/13	17	0	0	NA	0	NA	0
13-110	2013	05/08/13	17	1	0	NA	1	NA	0
13-111	2013	05/08/13	51	1	0	NA	1	NA	0
13-112	2013	05/08/13	51	0	0	NA	0	NA	0
13-113	2013	05/08/13	51	0	0	NA	0	NA	0
13-114	2013	05/08/13	51	0	0	NA	0	NA	0
13-115	2013	06/08/13	51	0	0	NA	0	NA	0
13-116	2013	06/08/13	51	0	0	NA	0	NA	0
13-117	2013	05/08/13	71	1	0	NA	1	NA	0
13-118	2013	05/08/13	71	1	0	NA	1	NA	0
13-119	2013	05/08/13	71	0	0	NA	0	NA	0
13-120	2013	05/08/13	71	1	0	NA	1	NA	0
13-121	2013	05/08/13	16	0	0	NA	0	NA	0
13-128	2013	07/08/13	10	0	0	NA	0	NA	0
13-129	2013	07/08/13	10	0	0	NA	0	NA	0
13-134	2013	12/08/13	39	1	0	NA	1	NA	0
13-147	2013	21/08/13	33	1	0	NA	1	NA	0
13-151	2013	02/09/13	21	1	0	NA	1	NA	0
13-155	2013	02/09/13	24	0	0	NA	0	NA	0
13-156	2013	02/09/13	69	1	0	NA	1	NA	0
13-157	2013	09/09/13	69	0	0	NA	0	NA	0
13-158	2013	09/09/13	69	0	0	NA	0	NA	0
13-159	2013	09/09/13	69	0	0	NA	0	NA	0
13-167	2013	17/09/13	24	0	0	NA	0	NA	0
13-172	2013	17/09/13	49	1	0	NA	1	NA	0
13-186	2013	25/09/13	16	1	0	NA	1	NA	0
14-051	2014	01/07/14	44	0	NA	NA	0	0	NA
14-052	2014	02/07/14	41	0	NA	NA	0	0	NA
14-054	2014	02/07/14	41	0	NA	NA	0	0	NA
14-055	2014	02/07/14	18	0	NA	NA	0	0	NA
14-071	2014	17/07/14	17	0	NA	NA	0	0	NA
14-072	2014	17/07/14	17	0	NA	NA	0	0	NA
14-077	2014	23/07/14	16	0	NA	NA	0	0	NA
14-078	2014	23/07/14	16	0	NA	NA	0	0	NA
14-080	2014	24/07/14	39	0	NA	NA	0	0	NA
14-081	2014	24/07/14	39	0	NA	NA	0	0	NA
14-082	2014	24/07/14	39	0	NA	NA	0	0	NA
14-083	2014	29/07/14	44	0	NA	NA	0	0	NA
14-086	2014	06/08/14	89	0	NA	NA	0	0	NA
14-087	2014	06/08/14	89	1	0	NA	1	0	0
14-090	2014	07/08/14	41	0	NA	NA	0	0	NA
14-096	2014	13/08/14	49	0	NA	NA	0	0	NA
14-097	2014	13/08/14	49	0	NA	NA	0	0	NA
14-098	2014	14/08/14	31	0	NA	NA	0	0	NA
14-099	2014	14/08/14	31	0	NA	NA	0	0	NA
14-100	2014	14/08/14	82	0	NA	NA	0	0	NA
14-105	2014	20/08/14	39	0	NA	NA	0	0	NA
14-106	2014	20/08/14	39	0	NA	NA	0	0	NA
14-107	2014	20/08/14	39	1	0	NA	1	0	0
14-108	2014	20/08/14	39	0	0	NA	0	0	0
14-109	2014	20/08/14	39	0	NA	NA	0	0	NA
14-110	2014	20/08/14	39	1	0	NA	1	0	0
14-112	2014	03/09/14	44	0	NA	NA	0	0	NA
14-113	2014	03/09/14	71	0	NA	NA	0	0	NA
14-114	2014	03/09/14	71	1	0	NA	1	0	0
14-115	2014	03/09/14	71	0	NA	NA	0	0	NA
14-116	2014	03/09/14	71	1	0	NA	1	0	0
14-117	2014	10/09/14	21	0	0	NA	0	0	0
14-118	2014	10/09/14	21	1	0	NA	1	0	0
14-119	2014	10/09/14	21	0	NA	NA	0	0	NA
14-120	2014	10/09/14	21	0	NA	NA	0	0	NA
14-121	2014	11/09/14	51	1	0	NA	1	0	0
14-122	2014	11/09/14	51	1	NA	NA	NA	NA	NA
14-123	2014	11/09/14	51	1	0	NA	1	0	0
14-124	2014	11/09/14	51	1	0	NA	1	0	0
14-125	2014	11/09/14	51	0	NA	NA	0	0	NA
14-126	2014	11/09/14	51	0	NA	NA	0	NA	NA
