sample_ID	region	raw_MIC	year	sham	0	0.01	0.1	1	10	100
13-167	AQ	0.1	2013	no	100	49	0	0	0	NA
13-167	AQ	0.1	2013	yes	100	13	0	0	0	0
13-075	BO	0.1	2013	no	100	98	0	0	0	0
13-075	BO	0.1	2013	yes	100	74	0	0	0	0
13-095	BO	< 0,01	2013	no	100	44	0	0	0	0
13-095	BO	< 0,01	2013	yes	100	5	0	0	0	0
13-096	BO	0.1	2013	no	100	88	0	0	0	0
13-096	BO	0.1	2013	yes	100	48	0	0	0	0
13-097	BO	>10	2013	no	100	100	92	55	55	NA
13-097	BO	0.1	2013	yes	100	97	0	0	0	0
13-098	BO	>10	2013	no	100	100	61	29	27	NA
13-098	BO	0.1	2013	yes	100	96	0	0	0	0
13-107	BO	>10	2013	no	100	89	32	20	6	NA
13-107	BO	0.1	2013	yes	100	96	0	0	0	0
13-117	BO	>10	2013	no	100	98	50	21	16	NA
13-117	BO	0.1	2013	yes	100	49	0	0	0	0
13-118	BO	>10	2013	no	100	62	36	2	3	NA
13-118	BO	0.1	2013	yes	100	25	0	0	0	0
13-119	BO	0.1	2013	no	100	61	0	0	0	0
13-119	BO	0.1	2013	yes	100	49	0	0	0	0
13-120	BO	>10	2013	no	100	92	3	3	3	NA
13-120	BO	0.1	2013	yes	100	10	0	0	0	0
13-151	BO	>10	2013	no	100	93	29	23	29	NA
13-151	BO	0.1	2013	yes	100	18	0	0	0	0
13-105	CA	0.1	2013	no	100	98	0	0	0	0
13-105	CA	0.1	2013	yes	100	80	0	0	0	0
13-106	CA	0.1	2013	no	100	100	0	0	0	0
13-106	CA	0.1	2013	yes	100	109	0	0	0	0
13-111	CA	>10	2013	no	100	118	118	118	98	NA
13-111	CA	0.1	2013	yes	100	99	0	0	0	0
13-112	CA	0.1	2013	no	100	83	0	0	0	0
13-112	CA	0.1	2013	yes	100	100	0	0	0	0
13-113	CA	0.1	2013	no	100	88	0	0	0	0
13-113	CA	0.1	2013	yes	100	108	0	0	0	0
13-114	CA	0.1	2013	no	100	97	0	0	0	0
13-114	CA	0.1	2013	yes	100	77	0	0	0	0
13-115	CA	0.1	2013	no	100	100	0	0	0	0
13-115	CA	0.1	2013	yes	100	28	0	0	0	0
13-116	CA	0.1	2013	no	100	99	0	0	0	0
13-116	CA	0.1	2013	yes	100	83	0	0	0	0
13-128	CA	0.1	2013	no	100	85	0	0	0	0
13-128	CA	0.1	2013	yes	100	46	0	0	0	0
13-129	CA	0.1	2013	no	100	100	0	0	0	0
13-129	CA	0.1	2013	yes	100	99	0	0	0	0
13-069	FC	>10	2013	no	100	101	5	1	1	NA
13-069	FC	0.1	2013	yes	100	102	0	0	0	NA
13-070	FC	>10	2013	no	100	98	30	21	3	NA
13-070	FC	0.1	2013	yes	100	58	0	0	0	0
13-071	FC	0.1	2013	no	100	95	0	0	0	0
13-071	FC	0.1	2013	yes	100	97	0	0	0	0
13-085	FC	0.1	2013	no	100	35	0	0	0	0
13-085	FC	0.1	2013	yes	100	3	0	0	0	0
13-134	FC	>10	2013	no	100	87	57	32	13	0
13-134	FC	0.1	2013	yes	100	61	0	0	0	0
13-017	LR	0.1	2013	no	100	110	0	0	0	0
13-017	LR	0.1	2013	yes	100	98	0	0	0	0
13-029	LR	0.1	2013	no	100	77	0	0	0	0
13-029	LR	0.1	2013	yes	100	76	0	0	0	0
13-030	PACA	0.1	2013	no	100	92	0	0	0	0
13-030	PACA	0.1	2013	yes	100	88	0	0	0	0
13-108	PC	0.1	2013	no	100	98	0	0	0	0
13-108	PC	0.1	2013	yes	100	100	0	0	0	0
13-109	PC	0.1	2013	no	100	80	0	0	0	0
13-109	PC	0.1	2013	yes	100	52	0	0	0	0
13-110	PC	>10	2013	no	100	100	4	2	6	NA
13-110	PC	0.1	2013	yes	100	108	0	0	0	0
13-121	PC	0.1	2013	no	100	100	0	0	0	0
13-121	PC	0.1	2013	yes	100	58	0	0	0	0
13-186	PC	10	2013	no	100	103	17	3	0	NA
13-186	PC	0.1	2013	yes	100	28	0	0	0	0
13-172	PL	>10	2013	no	100	97	17	10	3	NA
13-172	PL	0.1	2013	yes	100	68	0	0	0	0
13-086	RA	0.1	2013	no	100	54	0	0	0	0
13-086	RA	0.1	2013	yes	100	17	0	0	0	0
13-156	RA	>10	2013	no	100	98	1	3	1	NA
13-156	RA	0.1	2013	yes	100	103	0	0	0	0
13-157	RA	0.1	2013	no	100	25	0	0	0	NA
13-157	RA	0.1	2013	yes	100	13	0	0	0	0
13-158	RA	0.1	2013	no	100	43	0	0	0	NA
13-158	RA	0.1	2013	yes	100	4	0	0	0	0
13-159	RA	0.1	2013	no	100	29	0	0	0	NA
13-159	RA	0.1	2013	yes	100	22	0	0	0	0
14-140	AQ	0.1	2014	no	100	29	0	0	0	0
14-086	BO	0.1	2014	no	100	130	0	0	0	0
14-087	BO	100	2014	no	100	99	74	17	3	0
14-113	BO	0.1	2014	no	100	84	0	0	0	0
14-114	BO	100	2014	no	100	97	75	35	40	0
14-115	BO	0.1	2014	no	100	59	0	0	0	0
14-116	BO	100	2014	no	100	96	82	17	13	0
14-117	BO	1	2014	no	100	86	3	0	0	0
14-118	BO	100	2014	no	100	89	8	8	5	0
14-119	BO	0.1	2014	no	100	95	0	0	0	0
14-120	BO	0.1	2014	no	100	93	0	0	0	0
14-121	CA	100	2014	no	100	103	97	75	72	0
14-122	CA	100	2014	no	100	103	103	93	86	0
14-123	CA	10	2014	no	100	112	3	2	0	0
14-124	CA	100	2014	no	100	93	66	46	52	0
14-125	CA	0.1	2014	no	100	97	0	0	0	0
14-126	CA	0.1	2014	no	100	58	0	0	0	0
14-127	CA	100	2014	no	100	93	67	59	62	0
14-128	CA	100	2014	no	100	103	6	8	3	0
14-129	CA	0.1	2014	no	100	102	0	0	0	0
14-130	CA	>100	2014	no	100	83	22	18	7	0
14-052	CE	0.1	2014	no	100	96	0	0	0	0
14-054	CE	1	2014	no	100	98	4	0	0	0
14-055	CE	1	2014	no	100	102	2	0	0	0
14-090	CE	0.1	2014	no	100	72	0	0	0	0
14-080	FC	0.1	2014	no	100	31	0	0	0	0
14-081	FC	0.1	2014	no	100	59	0	0	0	0
14-082	FC	0.1	2014	no	100	99	0	0	0	0
14-105	FC	0.1	2014	no	100	97	0	0	0	0
14-106	FC	0.1	2014	no	100	96	0	0	0	0
14-107	FC	100	2014	no	100	100	43	14	13	0
14-108	FC	1	2014	no	100	31	2	0	0	0
14-109	FC	0.1	2014	no	100	73	0	0	0	0
14-110	FC	100	2014	no	100	71	68	50	44	0
14-098	MP	0.1	2014	no	100	29	0	0	0	0
14-099	MP	0.1	2014	no	100	67	0	0	0	0
14-100	MP	0.1	2014	no	100	97	0	0	0	0
14-135	MP	0.1	2014	no	100	94	0	0	0	0
